version = 1
startTime = 2025-12-13 08:57:01.091
screenWidth = 1920
screenHeight = 1080
----------------------------------------
Event 101: MsgID=512, Time=235897625, X=1571, Y=1936, MouseData=0, Flags=0, TimeStamp=235897625
Event 102: MsgID=512, Time=235897625, X=1567, Y=1934, MouseData=0, Flags=0, TimeStamp=235897625
Event 103: MsgID=512, Time=235897640, X=1562, Y=1931, MouseData=0, Flags=0, TimeStamp=235897640
Event 104: MsgID=512, Time=235897640, X=1559, Y=1929, MouseData=0, Flags=0, TimeStamp=235897640
Event 105: MsgID=512, Time=235897656, X=1555, Y=1927, MouseData=0, Flags=0, TimeStamp=235897656
Event 106: MsgID=512, Time=235897656, X=1553, Y=1925, MouseData=0, Flags=0, TimeStamp=235897656
Event 107: MsgID=512, Time=235897671, X=1550, Y=1923, MouseData=0, Flags=0, TimeStamp=235897671
Event 108: MsgID=512, Time=235897671, X=1548, Y=1922, MouseData=0, Flags=0, TimeStamp=235897671
Event 109: MsgID=512, Time=235897687, X=1546, Y=1921, MouseData=0, Flags=0, TimeStamp=235897687
Event 110: MsgID=512, Time=235897687, X=1545, Y=1920, MouseData=0, Flags=0, TimeStamp=235897687
Event 111: MsgID=512, Time=235897703, X=1543, Y=1918, MouseData=0, Flags=0, TimeStamp=235897703
Event 112: MsgID=512, Time=235897703, X=1541, Y=1917, MouseData=0, Flags=0, TimeStamp=235897703
Event 113: MsgID=512, Time=235897718, X=1538, Y=1916, MouseData=0, Flags=0, TimeStamp=235897718
Event 114: MsgID=512, Time=235897718, X=1537, Y=1915, MouseData=0, Flags=0, TimeStamp=235897718
Event 115: MsgID=512, Time=235897734, X=1535, Y=1913, MouseData=0, Flags=0, TimeStamp=235897734
Event 116: MsgID=512, Time=235897734, X=1532, Y=1913, MouseData=0, Flags=0, TimeStamp=235897734
Event 117: MsgID=512, Time=235897750, X=1529, Y=1911, MouseData=0, Flags=0, TimeStamp=235897750
Event 118: MsgID=512, Time=235897750, X=1526, Y=1908, MouseData=0, Flags=0, TimeStamp=235897750
Event 119: MsgID=512, Time=235897765, X=1522, Y=1906, MouseData=0, Flags=0, TimeStamp=235897765
Event 120: MsgID=512, Time=235897765, X=1518, Y=1903, MouseData=0, Flags=0, TimeStamp=235897765
Event 121: MsgID=512, Time=235897781, X=1514, Y=1900, MouseData=0, Flags=0, TimeStamp=235897781
Event 122: MsgID=512, Time=235897781, X=1508, Y=1897, MouseData=0, Flags=0, TimeStamp=235897781
Event 123: MsgID=512, Time=235897796, X=1501, Y=1893, MouseData=0, Flags=0, TimeStamp=235897796
Event 124: MsgID=512, Time=235897796, X=1493, Y=1891, MouseData=0, Flags=0, TimeStamp=235897796
Event 125: MsgID=512, Time=235897812, X=1485, Y=1888, MouseData=0, Flags=0, TimeStamp=235897812
Event 126: MsgID=512, Time=235897812, X=1474, Y=1886, MouseData=0, Flags=0, TimeStamp=235897812
Event 127: MsgID=512, Time=235897828, X=1464, Y=1883, MouseData=0, Flags=0, TimeStamp=235897828
version = 1
startTime = 2025-12-13 08:57:48.700
screenWidth = 1920
screenHeight = 1080
----------------------------------------
Event 0: MsgID=512, Time=235943765, X=512, Y=2078, MouseData=0, Flags=0, TimeStamp=235943765
Event 1: MsgID=512, Time=235943765, X=653, Y=2077, MouseData=0, Flags=0, TimeStamp=235943765
Event 2: MsgID=512, Time=235943781, X=653, Y=2075, MouseData=0, Flags=0, TimeStamp=235943781
Event 3: MsgID=512, Time=235943781, X=653, Y=2071, MouseData=0, Flags=0, TimeStamp=235943781
Event 4: MsgID=512, Time=235943796, X=652, Y=2066, MouseData=0, Flags=0, TimeStamp=235943796
Event 5: MsgID=512, Time=235943796, X=651, Y=2060, MouseData=0, Flags=0, TimeStamp=235943796
Event 6: MsgID=512, Time=235943812, X=649, Y=2056, MouseData=0, Flags=0, TimeStamp=235943812
Event 7: MsgID=512, Time=235943812, X=648, Y=2053, MouseData=0, Flags=0, TimeStamp=235943812
Event 8: MsgID=512, Time=235943828, X=648, Y=2051, MouseData=0, Flags=0, TimeStamp=235943828
Event 9: MsgID=512, Time=235943828, X=648, Y=2050, MouseData=0, Flags=0, TimeStamp=235943828
Event 10: MsgID=512, Time=235943843, X=648, Y=2049, MouseData=0, Flags=0, TimeStamp=235943843
Event 11: MsgID=512, Time=235944343, X=648, Y=2048, MouseData=0, Flags=0, TimeStamp=235944343
Event 12: MsgID=512, Time=235944375, X=648, Y=2047, MouseData=0, Flags=0, TimeStamp=235944375
Event 13: MsgID=512, Time=235944375, X=649, Y=2046, MouseData=0, Flags=0, TimeStamp=235944375
Event 14: MsgID=512, Time=235944390, X=651, Y=2043, MouseData=0, Flags=0, TimeStamp=235944390
Event 15: MsgID=512, Time=235944390, X=654, Y=2041, MouseData=0, Flags=0, TimeStamp=235944390
Event 16: MsgID=512, Time=235944406, X=658, Y=2038, MouseData=0, Flags=0, TimeStamp=235944406
Event 17: MsgID=512, Time=235944406, X=662, Y=2034, MouseData=0, Flags=0, TimeStamp=235944406
Event 18: MsgID=512, Time=235944421, X=667, Y=2028, MouseData=0, Flags=0, TimeStamp=235944421
Event 19: MsgID=512, Time=235944421, X=673, Y=2022, MouseData=0, Flags=0, TimeStamp=235944421
Event 20: MsgID=512, Time=235944437, X=680, Y=2012, MouseData=0, Flags=0, TimeStamp=235944437
Event 21: MsgID=512, Time=235944437, X=687, Y=2002, MouseData=0, Flags=0, TimeStamp=235944437
Event 22: MsgID=512, Time=235944453, X=694, Y=1988, MouseData=0, Flags=0, TimeStamp=235944453
Event 23: MsgID=512, Time=235944453, X=703, Y=1970, MouseData=0, Flags=0, TimeStamp=235944453
Event 24: MsgID=512, Time=235944468, X=711, Y=1948, MouseData=0, Flags=0, TimeStamp=235944468
Event 25: MsgID=512, Time=235944468, X=723, Y=1917, MouseData=0, Flags=0, TimeStamp=235944468
Event 26: MsgID=512, Time=235944484, X=738, Y=1878, MouseData=0, Flags=0, TimeStamp=235944484
Event 27: MsgID=512, Time=235944484, X=753, Y=1840, MouseData=0, Flags=0, TimeStamp=235944484
Event 28: MsgID=512, Time=235944500, X=769, Y=1792, MouseData=0, Flags=0, TimeStamp=235944500
Event 29: MsgID=512, Time=235944500, X=787, Y=1744, MouseData=0, Flags=0, TimeStamp=235944500
Event 30: MsgID=512, Time=235944515, X=806, Y=1689, MouseData=0, Flags=0, TimeStamp=235944515
Event 31: MsgID=512, Time=235944515, X=828, Y=1627, MouseData=0, Flags=0, TimeStamp=235944515
Event 32: MsgID=512, Time=235944531, X=851, Y=1559, MouseData=0, Flags=0, TimeStamp=235944531
Event 33: MsgID=512, Time=235944531, X=877, Y=1481, MouseData=0, Flags=0, TimeStamp=235944531
Event 34: MsgID=512, Time=235944546, X=906, Y=1396, MouseData=0, Flags=0, TimeStamp=235944546
Event 35: MsgID=512, Time=235944546, X=936, Y=1305, MouseData=0, Flags=0, TimeStamp=235944546
Event 36: MsgID=512, Time=235944562, X=971, Y=1209, MouseData=0, Flags=0, TimeStamp=235944562
Event 37: MsgID=512, Time=235944562, X=1007, Y=1114, MouseData=0, Flags=0, TimeStamp=235944562
Event 38: MsgID=512, Time=235944578, X=1042, Y=1012, MouseData=0, Flags=0, TimeStamp=235944578
Event 39: MsgID=512, Time=235944578, X=1073, Y=931, MouseData=0, Flags=0, TimeStamp=235944578
Event 40: MsgID=512, Time=235944593, X=1107, Y=846, MouseData=0, Flags=0, TimeStamp=235944593
Event 41: MsgID=512, Time=235944593, X=1142, Y=759, MouseData=0, Flags=0, TimeStamp=235944593
Event 42: MsgID=512, Time=235944609, X=1178, Y=672, MouseData=0, Flags=0, TimeStamp=235944609
Event 43: MsgID=512, Time=235944609, X=1214, Y=587, MouseData=0, Flags=0, TimeStamp=235944609
Event 44: MsgID=512, Time=235944625, X=1249, Y=502, MouseData=0, Flags=0, TimeStamp=235944625
Event 45: MsgID=512, Time=235944625, X=1285, Y=418, MouseData=0, Flags=0, TimeStamp=235944625
Event 46: MsgID=512, Time=235944640, X=1320, Y=338, MouseData=0, Flags=0, TimeStamp=235944640
Event 47: MsgID=512, Time=235944640, X=1356, Y=259, MouseData=0, Flags=0, TimeStamp=235944640
Event 48: MsgID=512, Time=235944656, X=1391, Y=179, MouseData=0, Flags=0, TimeStamp=235944656
Event 49: MsgID=512, Time=235944656, X=1426, Y=103, MouseData=0, Flags=0, TimeStamp=235944656
Event 50: MsgID=512, Time=235944671, X=1459, Y=26, MouseData=0, Flags=0, TimeStamp=235944671
Event 51: MsgID=512, Time=235944687, X=1489, Y=-48, MouseData=0, Flags=0, TimeStamp=235944687
Event 52: MsgID=512, Time=235944687, X=1520, Y=-71, MouseData=0, Flags=0, TimeStamp=235944687
Event 53: MsgID=512, Time=235944703, X=1550, Y=-71, MouseData=0, Flags=0, TimeStamp=235944703
Event 54: MsgID=512, Time=235944703, X=1575, Y=-69, MouseData=0, Flags=0, TimeStamp=235944703
Event 55: MsgID=512, Time=235944718, X=1603, Y=-68, MouseData=0, Flags=0, TimeStamp=235944718
Event 56: MsgID=512, Time=235944718, X=1628, Y=-63, MouseData=0, Flags=0, TimeStamp=235944718
Event 57: MsgID=512, Time=235944734, X=1653, Y=-58, MouseData=0, Flags=0, TimeStamp=235944734
Event 58: MsgID=512, Time=235944734, X=1678, Y=-53, MouseData=0, Flags=0, TimeStamp=235944734
Event 59: MsgID=512, Time=235944750, X=1702, Y=-52, MouseData=0, Flags=0, TimeStamp=235944750
Event 60: MsgID=512, Time=235944750, X=1724, Y=-48, MouseData=0, Flags=0, TimeStamp=235944750
Event 61: MsgID=512, Time=235944765, X=1741, Y=-44, MouseData=0, Flags=0, TimeStamp=235944765
Event 62: MsgID=512, Time=235944765, X=1758, Y=-41, MouseData=0, Flags=0, TimeStamp=235944765
Event 63: MsgID=512, Time=235944781, X=1773, Y=-39, MouseData=0, Flags=0, TimeStamp=235944781
Event 64: MsgID=512, Time=235944781, X=1785, Y=-36, MouseData=0, Flags=0, TimeStamp=235944781
Event 65: MsgID=512, Time=235944796, X=1797, Y=-33, MouseData=0, Flags=0, TimeStamp=235944796
Event 66: MsgID=512, Time=235944796, X=1807, Y=-28, MouseData=0, Flags=0, TimeStamp=235944796
Event 67: MsgID=512, Time=235944812, X=1817, Y=-30, MouseData=0, Flags=0, TimeStamp=235944812
Event 68: MsgID=512, Time=235944812, X=1823, Y=-22, MouseData=0, Flags=0, TimeStamp=235944812
Event 69: MsgID=512, Time=235944828, X=1829, Y=-21, MouseData=0, Flags=0, TimeStamp=235944828
Event 70: MsgID=512, Time=235944828, X=1834, Y=-19, MouseData=0, Flags=0, TimeStamp=235944828
Event 71: MsgID=512, Time=235944843, X=1838, Y=-16, MouseData=0, Flags=0, TimeStamp=235944843
Event 72: MsgID=512, Time=235944843, X=1841, Y=-13, MouseData=0, Flags=0, TimeStamp=235944843
Event 73: MsgID=512, Time=235944859, X=1843, Y=-12, MouseData=0, Flags=0, TimeStamp=235944859
Event 74: MsgID=512, Time=235944859, X=1846, Y=-12, MouseData=0, Flags=0, TimeStamp=235944859
Event 75: MsgID=512, Time=235944875, X=1847, Y=-11, MouseData=0, Flags=0, TimeStamp=235944875
Event 76: MsgID=512, Time=235944875, X=1847, Y=-9, MouseData=0, Flags=0, TimeStamp=235944875
Event 77: MsgID=512, Time=235944890, X=1848, Y=-9, MouseData=0, Flags=0, TimeStamp=235944890
Event 78: MsgID=512, Time=235944890, X=1848, Y=-10, MouseData=0, Flags=0, TimeStamp=235944890
Event 79: MsgID=512, Time=235944906, X=1848, Y=-6, MouseData=0, Flags=0, TimeStamp=235944906
Event 80: MsgID=512, Time=235944906, X=1848, Y=-7, MouseData=0, Flags=0, TimeStamp=235944906
Event 81: MsgID=512, Time=235944921, X=1848, Y=-6, MouseData=0, Flags=0, TimeStamp=235944921
Event 82: MsgID=512, Time=235944921, X=1849, Y=-5, MouseData=0, Flags=0, TimeStamp=235944921
Event 83: MsgID=512, Time=235944937, X=1849, Y=-4, MouseData=0, Flags=0, TimeStamp=235944937
Event 84: MsgID=512, Time=235944937, X=1849, Y=-3, MouseData=0, Flags=0, TimeStamp=235944937
Event 85: MsgID=512, Time=235944953, X=1849, Y=-3, MouseData=0, Flags=0, TimeStamp=235944953
Event 86: MsgID=512, Time=235944953, X=1849, Y=-3, MouseData=0, Flags=0, TimeStamp=235944953
Event 87: MsgID=512, Time=235944968, X=1849, Y=-3, MouseData=0, Flags=0, TimeStamp=235944968
Event 88: MsgID=512, Time=235944968, X=1849, Y=-3, MouseData=0, Flags=0, TimeStamp=235944968
Event 89: MsgID=512, Time=235944984, X=1850, Y=-1, MouseData=0, Flags=0, TimeStamp=235944984
