ERROR,error key, current key Enter
MOUSE_WHEEL,Total delta=-24
MOUSE_MOVE,from X=832, Y=489 to X=834, Y=485
MOUSE_WHEEL,Total delta=-407
MOUSE_WHEEL,Total delta=-4434
MOUSE_WHEEL,Total delta=76
MOUSE_MOVE,from X=834, Y=485 to X=863, Y=486
MOUSE_L_CLICK,Time=666359, X=1548, Y=825
MOUSE_MOVE,from X=1548, Y=825 to X=1530, Y=824
MOUSE_L_CLICK,Time=682328, X=1523, Y=788
MOUSE_MOVE,from X=1523, Y=788 to X=1503, Y=791
MOUSE_L_CLICK,Time=685531, X=176, Y=535
MOUSE_MOVE,from X=176, Y=535 to X=194, Y=531
MOUSE_WHEEL,Total delta=-793
MOUSE_MOVE,from X=573, Y=515 to X=575, Y=514
MOUSE_WHEEL,Total delta=-1582
MOUSE_WHEEL,Total delta=-1271
MOUSE_MOVE,from X=575, Y=514 to X=582, Y=517
MOUSE_L_CLICK,Time=688562, X=646, Y=537
MOUSE_L_DOUBLE_CLICK,Time=688765, X=646, Y=537
MOUSE_L_CLICK,Time=688984, X=646, Y=537
MOUSE_MOVE,from X=646, Y=537 to X=656, Y=545
MOUSE_L_CLICK,Time=689968, X=710, Y=594
MOUSE_L_DOUBLE_CLICK,Time=690156, X=710, Y=594
MOUSE_L_CLICK,Time=690343, X=710, Y=594
MOUSE_WHEEL,Total delta=935
MOUSE_MOVE,from X=710, Y=594 to X=710, Y=594
MOUSE_L_CLICK,Time=692703, X=548, Y=874
KEY_COMBO_3,D + K + A
KEY_PRESS,D
KEY_COMBO_3,K + A + S
KEY_PRESS,K
KEY_COMBO_3,A + S + M
KEY_PRESS,A
KEY_PRESS,M
KEY_COMBO_3,S + K + D
KEY_PRESS,S
KEY_PRESS,K
KEY_COMBO_3,D + A + K
KEY_PRESS,D
KEY_COMBO_3,A + K + S
KEY_PRESS,K
KEY_PRESS,A
KEY_COMBO_2,S + D
KEY_PRESS,S
KEY_PRESS,D
KEY_COMBO_2,A + S
KEY_PRESS,A
KEY_PRESS,S
MOUSE_MOVE,from X=548, Y=874 to X=556, Y=849
MOUSE_WHEEL,Total delta=-481
MOUSE_L_CLICK,Time=696343, X=674, Y=583
KEY_SEQUENCE,DKASMKDAKSDAS
MOUSE_L_CLICK,Time=698171, X=674, Y=583
MOUSE_MOVE,from X=674, Y=583 to X=670, Y=598
MOUSE_L_CLICK,Time=700125, X=564, Y=1002
KEY_PRESS,=
KEY_PRESS,Num Del
KEY_HOLD,Backspace
KEY_PRESS,Backspace
KEY_PRESS,2
ERROR,error key, current key Enter
MOUSE_MOVE,from X=564, Y=1002 to X=567, Y=980
MOUSE_WHEEL,Total delta=-746
MOUSE_MOVE,from X=664, Y=638 to X=672, Y=623
KEY_COMBO_2,D + A
KEY_PRESS,D
KEY_COMBO_3,A + S + Backspace
KEY_PRESS,Backspace
KEY_COMBO_3,A + S + 0xE7
KEY_PRESS,e7
KEY_PRESS,A
KEY_COMBO_3,S + D + Backspace
KEY_PRESS,Backspace
KEY_COMBO_3,S + D + Backspace
KEY_PRESS,Backspace
KEY_COMBO_3,S + D + 0xE7
KEY_PRESS,e7
KEY_COMBO_3,S + D + 0xE7
KEY_PRESS,e7
KEY_PRESS,S
KEY_COMBO_3,D + A + Backspace
KEY_PRESS,Backspace
KEY_COMBO_3,D + A + 0xE7
KEY_PRESS,e7
KEY_PRESS,D
KEY_COMBO_3,A + S + Backspace
KEY_PRESS,Backspace
KEY_COMBO_3,A + S + 0xE7
KEY_PRESS,e7
KEY_COMBO_3,A + S + 0xE7
KEY_PRESS,e7
KEY_PRESS,A
KEY_COMBO_2,S + D
KEY_PRESS,S
KEY_PRESS,D
MOUSE_WHEEL,Total delta=-1299
MOUSE_MOVE,from X=750, Y=553 to X=738, Y=592
KEY_SEQUENCE,DD
KEY_PRESS,Enter
KEY_PRESS,Enter
KEY_PRESS,Enter
KEY_PRESS,Enter
KEY_COMBO_2,D + A
KEY_PRESS,D
KEY_PRESS,A
KEY_SEQUENCE,DA
KEY_PRESS,Enter
MOUSE_WHEEL,Total delta=-962
MOUSE_MOVE,from X=697, Y=607 to X=686, Y=629
MOUSE_L_CLICK,Time=729265, X=547, Y=1013
KEY_PRESS,C
KEY_PRESS,O
KEY_PRESS,Space
KEY_COMBO_2,C + O
KEY_PRESS,C
KEY_PRESS,O
KEY_PRESS,N
KEY_PRESS,Space
KEY_PRESS,C
KEY_PRESS,A
KEY_PRESS,Space
KEY_PRESS,T
KEY_PRESS,O
KEY_PRESS,Space
KEY_COMBO_2,V + A
KEY_PRESS,V
KEY_PRESS,A
KEY_PRESS,Space
KEY_PRESS,C
KEY_PRESS,O
KEY_PRESS,N
KEY_PRESS,Space
KEY_COMBO_2,C + A
KEY_PRESS,C
KEY_PRESS,A
KEY_PRESS,Space
KEY_PRESS,B
KEY_PRESS,E
MOUSE_MOVE,from X=547, Y=1013 to X=548, Y=998
MOUSE_WHEEL,Total delta=-263
MOUSE_MOVE,from X=712, Y=573 to X=709, Y=599
KEY_HOLD,Backspace
KEY_PRESS,Backspace
KEY_PRESS,Backspace
KEY_PRESS,Backspace
KEY_PRESS,Backspace
KEY_PRESS,Space
KEY_PRESS,C
KEY_PRESS,A
KEY_SEQUENCE,CO CON CA
KEY_PRESS,Enter
MOUSE_L_CLICK,Time=763968, X=67, Y=514
MOUSE_MOVE,from X=67, Y=514 to X=80, Y=529
MOUSE_L_CLICK,Time=765687, X=469, Y=1012
KEY_PRESS,2
